city_ascii,country,lat,lng,tasmax_thresh,pr_thresh
Yiyang,China,28.5833,112.3333,36.22674133300785,34.33663421496748
Guigang,China,23.0961,109.6092,35.15392425537112,35.162807565182455
Changchun,China,43.9,125.2,33.99655395507813,30.03570796083661
Jiangguanchi,China,34.0244,113.8201,37.54262756347657,34.31245420128107
Meizhou,China,24.2998,116.1191,36.594782714843745,40.63831181265416
Casablanca,Morocco,33.5333,-7.5833,34.70823272705061,34.11459850519894
Zhangjiakou,China,40.8108,114.8811,33.672839050292964,33.081769240088754
Chifeng,China,42.2663,118.9223,35.98674163818362,38.731457339599665
Urumqi,China,43.8225,87.6125,35.30683868408204,18.983315925579518
Izmir,Turkey,38.42,27.14,36.96490509033208,38.12279412522912
Linfen,China,36.0812,111.5087,39.01341308593754,26.816689940169393
Shantou,China,23.3735,116.6941,36.7075213623047,53.87060490623126
Kabul,Afghanistan,34.5253,69.1783,31.82094482421877,35.0059440024197
Mogadishu,Somalia,2.0392,45.3419,35.95001678466798,25.45442469790574
Luzhou,China,28.8918,105.4409,35.937560729980476,26.358553972095297
Hefei,China,31.8639,117.2808,36.063058776855485,41.239933976903565
Boston,United States,42.3188,-71.0852,33.7223791503885,57.57266926579176
Liuzhou,China,24.3264,109.4281,35.80836090087894,34.473598066717386
Zhaoqing,China,23.05,112.4667,35.49647827148442,40.9209468718618
Xiaoxita,China,30.7083,111.2803,35.4652346801758,31.740849763155015
Shijiazhuang,China,38.0422,114.5086,38.82725921630862,32.464711708947995
Ningbo,China,29.875,121.5492,33.95486328125003,53.09444053843613
Fuzhou,China,27.9814,116.3577,37.14640930175784,46.37427300587296
Phoenix,United States,33.5722,-112.0892,44.13732330322209,49.99493416585029
Zhuzhou,China,27.8407,113.1469,36.84664306640627,35.38852063380183
Amman,Jordan,31.9497,35.9328,36.10399291992189,33.404938504099846
Chuzhou,China,32.3062,118.3115,35.59777191162112,41.614108999259756
Jeddah,Saudi Arabia,21.5433,39.1728,42.633179321289106,36.77629491593681
Qingyuan,China,23.6842,113.0507,36.69272338867188,40.77102986164394
Loudi,China,27.7378,111.9974,35.53612091064457,32.5704412451014
Binzhou,China,37.3806,118.0125,37.35438018798828,46.557425402104855
Deyang,China,31.1289,104.395,35.71953582763672,24.370385114103534
Taiyuan,China,37.8733,112.5425,35.61701507568364,29.010482858866425
Kano,Nigeria,12.0,8.5167,42.063041381835944,53.849342549219706
Wuhu,China,31.334,118.3622,35.947792968750036,41.59965346008539
Nanning,China,22.8192,108.315,35.968184509277364,31.53283049818126
Harbin,China,45.75,126.6333,34.1988772583008,24.73038829118013
Abuja,Nigeria,9.0667,7.4833,39.980827026367194,34.79620881937444
Yokohama,Japan,35.4442,139.6381,32.938046875,54.62226442806446
Baojishi,China,34.3609,107.1751,35.62518951416018,29.61554870288818
Zaozhuang,China,34.8667,117.55,35.763890075683605,44.553496722132
Xiamen,China,24.4797,118.0819,34.57048126220707,55.7626370899378
Neijiang,China,29.5872,105.0635,36.13155853271485,26.835797284729775
Baicheng,China,23.901,106.6194,38.423013305664085,30.411138282157474
Anshan,China,41.1066,122.9895,33.945268554687516,42.701246961951256
Yulinshi,China,38.2655,109.7388,34.09213958740236,31.612883901223544
Medan,Indonesia,3.5894,98.6739,38.88493774414064,29.205609440803528
Wenzhou,China,27.9991,120.6561,35.18905090332032,42.42140302620823
Changzhou,China,31.8122,119.9692,35.08214447021487,37.364085154607864
Puyang,China,35.7639,115.03,37.9312762451172,36.66868561226863
Jiaozuo,China,35.229,113.2304,39.1327459716797,34.54207627102733
Nanchang,China,28.6842,115.8872,37.08736480712895,41.99111082684249
Ibadan,Nigeria,7.3964,3.9167,39.783625488281245,31.895866599865276
Hechi,China,24.6928,108.085,35.597023010253906,26.79369662795216
Detroit,United States,42.3834,-83.1024,34.110492553705676,28.853403948247443
Montreal,Canada,45.5089,-73.5617,31.961000671386316,31.74379382282483
Busan,South Korea,35.18,129.075,32.32849273681643,92.73434230685233
Hohhot,China,40.8151,111.6629,33.18359313964845,41.28673700708895
Seattle,United States,47.6211,-122.3244,32.52682586669673,30.275016333907782
Hanzhong,China,33.0794,107.026,36.695122375488324,36.942930453456945
Algiers,Algeria,36.7539,3.0589,35.711173095703145,31.965012196451426
Tangshan,China,39.6292,118.1742,37.06986785888677,37.832575019448996
Shiyan,China,32.6351,110.7755,36.739964904785154,35.308890458196494
Siping,China,43.1715,124.3644,34.48205474853518,32.86045144032688
Lucknow,India,26.85,80.95,43.557499389648456,70.46203377284124
Mashhad,Iran,36.3,59.6,39.438198242187525,33.42650095000863
Boankra,Ghana,6.6944,-1.4028,40.136235656732644,22.67422040551902
Changzhi,China,36.1953,113.097,34.09495208740236,28.094580816105008
Dubai,United Arab Emirates,25.2631,55.2972,43.298458557128924,40.67581827286632
Qinzhou,China,21.95,108.6167,35.73738067626954,38.850814492441735
Guiyang,China,26.5794,106.7078,29.882073974609398,25.685048949904758
Bengbu,China,32.9354,117.3531,36.27015899658204,40.72822608053682
San Francisco,United States,37.7558,-122.4449,30.210911254879946,53.516691517084865
Bazhou,China,31.8576,106.7559,35.876891784667976,35.15821776911618
